ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-21,148.79012144211654,32.320635440233765,278.24029190271665,148.79012144211654,148.79012144211654,9.98349651682275,9.98349651682275,9.98349651682275,3.7381347079994267,3.7381347079994267,3.7381347079994267,6.245361808823323,6.245361808823323,6.245361808823323,0.0,0.0,0.0,158.7736179589393
2021-10-22,148.68832902606334,35.308725035586924,277.83624775268225,148.68832902606334,148.68832902606334,6.6396127356731345,6.6396127356731345,6.6396127356731345,-0.6120553324916,-0.6120553324916,-0.6120553324916,7.251668068164733,7.251668068164733,7.251668068164733,0.0,0.0,0.0,155.32794176173647
2021-10-23,148.5865366100101,41.119963153564115,279.7400281237888,148.5865366100101,148.5865366100101,9.236849510674903,9.236849510674903,9.236849510674903,0.94718848671141,0.94718848671141,0.94718848671141,8.289661023963491,8.289661023963491,8.289661023963491,0.0,0.0,0.0,157.82338612068503
2021-10-24,148.48474419395689,24.349912464998944,278.8112016826064,148.48474419395689,148.48474419395689,3.737532831277715,3.737532831277715,3.737532831277715,-5.624541959835874,-5.624541959835874,-5.624541959835874,9.362074791113589,9.362074791113589,9.362074791113589,0.0,0.0,0.0,152.2222770252346
2021-10-25,148.38295177790368,37.17035441785382,286.6248479718049,148.38295177790368,148.38295177790368,13.11518943277393,13.11518943277393,13.11518943277393,2.644528837684317,2.644528837684317,2.644528837684317,10.470660595089612,10.470660595089612,10.470660595089612,0.0,0.0,0.0,161.4981412106776
2021-10-26,148.28115936185046,40.460823359436674,280.56257928252376,148.28115936185046,148.28115936185046,14.435555705131772,14.435555705131772,14.435555705131772,2.8193328075965156,2.8193328075965156,2.8193328075965156,11.616222897535255,11.616222897535255,11.616222897535255,0.0,0.0,0.0,162.71671506698223
2021-10-27,148.17936694579723,34.37902596248265,279.03291273352033,148.17936694579723,148.17936694579723,8.886061618907801,8.886061618907801,8.886061618907801,-3.9125875476424863,-3.9125875476424863,-3.9125875476424863,12.79864916655029,12.79864916655029,12.79864916655029,0.0,0.0,0.0,157.06542856470503
2021-10-28,148.07757452974406,37.05760206615399,289.37239771516744,148.07757452974406,148.07757452974406,17.7550659209768,17.7550659209768,17.7550659209768,3.7381347080052985,3.7381347080052985,3.7381347080052985,14.0169312129715,14.0169312129715,14.0169312129715,0.0,0.0,0.0,165.83264045072085
2021-10-29,147.97578211369083,40.46240607765173,279.39975488378036,147.97578211369083,147.97578211369083,14.657121976412165,14.657121976412165,14.657121976412165,-0.6120553324930162,-0.6120553324930162,-0.6120553324930162,15.269177308905181,15.269177308905181,15.269177308905181,0.0,0.0,0.0,162.63290409010298
2021-10-30,147.8739896976376,54.57430203312869,288.02936081725255,147.8739896976376,147.8739896976376,17.49980409300303,17.49980409300303,17.49980409300303,0.9471884867380468,0.9471884867380468,0.9471884867380468,16.55261560626498,16.55261560626498,16.55261560626498,0.0,0.0,0.0,165.37379379064063
